corp_code,year,total_assets,total_debt,total_equity,revenue,operating_income,net_income,interest_expense,operating_cf,capex,current_assets,current_liabilities,retained_earnings,ebit,debt_ratio,current_ratio,interest_coverage,net_debt_ratio,equity_ratio,roa,roe,op_margin,net_margin,cfo_to_debt,fcf,revenue_growth,op_income_growth,asset_growth,interest_cov_yoy,debt_ratio_trend,cf_volatility,consecutive_loss,z_score,data_quality,created_at,news_count,sentiment_avg,negative_ratio,positive_ratio,news_bankruptcy_flag,news_lawsuit_flag,news_ceo_change_flag,label
00100258,2015,613.16855643,364.32613421,248.84242222,466.92392468,-138.52856429,-164.23564448,14.32702483,0.60938742,,29.42094534,1.25149549,-162.80703539,-138.52856429,1.4640836998761473,10.0,-9.66903917133785,1.3634508573061583,0.405830370149465,-0.2678474666675921,-0.6599985766687334,-0.296683371675458,-0.351739621379557,0.0016726426209346405,,,,,,,,1,-0.30064628277142447,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,1
00100258,2016,1046.14742396,571.71816971,474.42925425,284.28152259,-162.57012492,-209.11963294,,-101.13477564,,840.64339614,482.92658817,-340.46604514,-162.57012492,1.2050651695452441,1.7407270933777546,,1.1881333708459865,0.45350133583862845,-0.19989499390861742,-0.440781488634351,-0.571863142700498,-0.7356075450658082,-0.1768962069043562,,-0.39116094172122684,0.17354948239895607,0.7061335141692469,,,,2,-0.2863766391011589,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,1
00100258,2017,658.10066203,326.31679127,331.78387076,170.74815387,-698.36726691,-844.66668676,,-211.85907856,,59.5822215,10.7943388,-1178.16005834,-698.36726691,0.9835221661695704,5.519765740537994,,0.8204781783588111,0.5041536802843626,-1.283491622929708,-2.545834084174032,-4.090042855993076,-4.946856921235537,-0.6492435701376588,,-0.39936949712958125,3.2957909225551942,-0.37092932892872776,,-0.24028076685328856,1.0205295296198447,3,-5.659836958497399,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,1
00100258,2018,616.59781352,348.78250043,267.81531309,142.17841705,-313.25595706,-344.95693094,,-71.32370209,,84.44527237,25.42372051,-1595.03469398,-313.25595706,1.3023247117792356,3.3215151313823186,,1.2921817795896668,0.43434359840024495,-0.5594520826642714,-1.2880403549743116,-2.203259563298113,-2.4262257106061935,-0.20449335044638953,,-0.16732091195405674,-0.5514452467882205,-0.06306459012209298,,0.0486297711169954,0.9205166822868904,4,-4.952643171331887,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,1
00100258,2019,458.67391649,274.88840844,183.78550805,25.50809665,-109.2539321,-145.25290519,,-50.53787231,,101.09340812,28.27073994,-1733.94913508,-109.2539321,1.4957023073071403,3.5759024466481653,,1.489347399499707,0.4006888149568603,-0.31668010751853337,-0.790339275012277,-4.28310797152323,-5.694384304051945,-0.18384868462371312,,-0.8205909365200659,-0.6512311110525063,-0.2561214029100308,,0.256090070568785,0.9110080575844878,5,-5.832403741306541,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,1
00101220,2015,11424.52650982,6784.33511024,4640.19139958,10144.74707121,453.59740089,418.54915971,,-527.92777983,,162.59625901,28.96540169,1608.67858166,453.59740089,1.4620808768478977,5.6134646689928225,,1.380514420418049,0.40616050000772497,0.03663601807481774,0.0902008395058627,0.04471253917973707,0.04125772252102863,-0.07781569914392454,,,,,,,,0,1.230171379546865,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00101220,2016,12635.288338,7533.16753157,5102.12080643,10314.49560124,533.08668391,283.47116846,,758.9202684,,3.39116667,2.85708481,1700.61110371,533.08668391,1.4764776878815273,1.1869324488130963,,1.2832769084276738,0.40379931743113656,0.02243487927437909,0.05555947795331552,0.051683252823910536,0.027482795031287942,0.10074384582840044,,0.016732652755013788,0.1752419278947248,0.10597916921452155,,,,0,1.1440323097412644,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00101220,2017,14806.73142139,9028.97457802,5777.75684337,10994.84824717,762.46324272,464.95846599,,1894.68540566,,64.31988493,12.39142086,1716.99728224,762.46324272,1.5627128006227513,5.190678749168075,,1.2700335720791578,0.3902114976586511,0.031401830205302086,0.08047387223010982,0.0693473184512804,0.04228875701942291,0.20984502606446515,,0.06596082564116945,0.43028003837500695,0.17185544368302952,,0.050315961887426874,1.7106423057872726,0,1.0790421495108156,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00101220,2018,15085.99076377,9044.40514432,6041.58561945,12827.76686622,277.65617794,277.65617794,,589.34038927,,48.93744047,12.31218927,1698.1406573,277.65617794,1.4970250715644684,3.9747147641111598,,1.1978566829809856,0.4004765556372516,0.018404901758710446,0.04595750113118096,0.021644934838281626,0.021644934838281626,0.06516076843816679,,0.16670704113826962,-0.6358431956018057,0.018860296336339122,,0.010273691841470487,1.460707864942748,0,1.0715490767702327,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00101220,2019,41515.42217468,27999.67271529,13515.74945939,20683.95230839,2193.41422536,2193.41422536,,1467.45850908,,55.62846238,41.99427846,2609.18354759,2193.41422536,2.0716330085445143,1.3246676552137147,,1.829505003218371,0.32555972579349496,0.05283372083104456,0.16228580086886238,0.1060442507629593,0.1060442507629593,0.05240984507217663,,0.6124359387024787,6.899749400980319,1.7519188381304076,,0.25446010396088115,1.1096961863735564,0,0.7609566658502012,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
